;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;1235.403205871582;1235.584098815918;1235.403221130371;1235.4031982421875;1235.403205871582;529.4585342407227;882.4308853149414;1235.403205871582
0.009000000000000001;1327.5682373046875;1235.584083557129;1235.403221130371;1235.403205871582;1235.4032363891602;529.4585342407227;882.4308853149414;1235.403221130371
0.008;1235.403205871582;1235.584098815918;1235.403221130371;1235.4032135009766;1235.403221130371;529.4585342407227;882.4308395385742;1235.403221130371
0.007;1235.4032363891602;1235.5841445922852;1235.4032135009766;1235.698387145996;1235.4032287597656;529.4585342407227;882.4308853149414;1235.403205871582
0.006;1235.403221130371;1235.584083557129;1235.4032363891602;1235.6745681762695;1235.403190612793;529.4585342407227;882.4308395385742;1411.889389038086
0.005;1235.4032440185547;1235.5841522216797;1235.403221130371;1235.403175354004;1235.4032363891602;529.4585342407227;882.4308853149414;1411.894058227539
0.004;1235.4032287597656;1412.070785522461;1235.403190612793;1411.8893280029297;1235.4032669067383;529.4585342407227;882.4308853149414;1504.0782165527344
0.003;1235.403190612793;1504.2352752685547;1235.4032745361328;1411.8925170898438;1235.403175354004;529.4585342407227;882.4308395385742;1588.375617980957
0.002;1235.4032363891602;1412.0712356567383;1235.403221130371;1411.8893585205078;1235.4032669067383;705.944709777832;882.4308547973633;1764.861831665039
0.001;1235.403190612793;1588.5564193725586;1235.403205871582;1588.4072647094727;1235.403205871582;705.948600769043;882.4308395385742;2294.3202514648438
